"","description","cluster","Matching.Attribute","ID","shared.name","Family","Class","ABI3VP1_DD","MYBrelated_DD","MYB_DD","CPP_DD","C2C2dof_DD","ZFHD_DD","ARID_DD","Trihelix_DD","NAC_DD","WRKY_DD","C2C2YABBY_DD","ND_DD","Homeobox_DD","BZR_DD","TCP_DD","AP2EREBP_DD","Orphan_DD","bHLH_DD","HB_DD","C2C2gata_DD","HMG_DD","GRF_DD","C2H2_DD"
"1092","DNA-binding, integrase-type","DD","AT5G13910","AT5G13910","AT5G13910","ERF","pos",3,1,3,1,1,1,4,1,2,1,2,4,2,1,3,2,2,0,1,1,0,0,1
"1093","HTH transcriptional regulator, Myb-type, DNA-binding;HTH transcriptional regulator, Myb-type, DNA-binding","DD","AT1G17950","AT1G17950","AT1G17950","MYB","pos",2,2,7,1,0,2,5,0,3,1,1,5,1,0,5,1,0,0,0,1,0,0,1
"1094","Haem peroxidase","DD","AT2G34060","AT2G34060","AT2G34060",NA,"pos",3,1,1,0,0,1,1,0,0,1,0,2,1,0,2,1,1,1,1,1,1,0,1
"1095","Protein of unknown function DUF599","DD","AT4G31330","AT4G31330","AT4G31330",NA,"pos",2,1,3,1,1,2,2,0,1,1,1,3,1,0,1,0,2,1,0,1,1,0,0
"1096","Protein kinase-like domain","DD","AT3G48260","AT3G48260","AT3G48260",NA,"pos",0,0,1,2,1,1,0,1,2,1,1,4,1,0,3,0,1,2,0,1,0,1,0
"1097","Concanavalin A-like lectin/glucanase;Protein kinase-like domain","DD","AT2G37710","AT2G37710","AT2G37710",NA,"pos",0,2,5,1,0,3,3,1,2,1,0,4,1,1,2,1,1,1,1,1,0,1,1
"1098","Malic oxidoreductase","UU","AT2G19900","AT2G19900","AT2G19900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1099","Uncharacterised protein family UPF0016;Uncharacterised protein family UPF0016","UU","AT5G36290","AT5G36290","AT5G36290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","SSF53474","UU","AT1G10040","AT1G10040","AT1G10040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101","C2 calcium/lipid-binding domain, CaLB;C2 calcium/lipid-binding domain, CaLB;C2 calcium/lipid-binding domain, CaLB;NOVEL00010;Phosphoribosyltransferase C-terminal","UU","AT3G57880","AT3G57880","AT3G57880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102","SSF57850","UU","AT3G47160","AT3G47160","AT3G47160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103","Late embryogenesis abundant protein, group 2","DD","AT2G35960","AT2G35960","AT2G35960",NA,"pos",1,1,3,0,1,1,2,1,2,1,2,4,1,1,3,2,0,1,0,1,1,0,1
"1104","Protein of unknown function DUF597","UU","AT5G46710","AT5G46710","AT5G46710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105","SSF56784","UU","AT5G10100","AT5G10100","AT5G10100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","NO_DESCRIPTION","DD","AT1G18810","AT1G18810","AT1G18810",NA,"pos",4,2,4,0,1,1,4,0,1,1,1,7,1,0,4,1,2,1,0,0,0,0,0
"1107","Hly-III related","DD","AT5G20270","AT5G20270","AT5G20270",NA,"pos",4,2,3,1,1,1,2,1,0,0,0,3,1,0,1,1,3,0,0,1,0,0,0
"1108","RNA recognition motif, RNP-1","UU","AT5G53680","AT5G53680","AT5G53680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109","SSF57667","DD","AT1G67030","AT1G67030","AT1G67030",NA,"pos",2,0,5,1,1,3,5,1,2,0,1,6,1,1,3,0,2,1,1,1,0,0,0
"1110","Protein of unknown function DUF6, transmembrane;Protein of unknown function DUF6, transmembrane","DD","AT1G43650","AT1G43650","AT1G43650",NA,"pos",0,1,4,0,1,3,3,0,2,0,1,7,1,1,2,1,1,1,0,1,0,0,0
"1111","Haem peroxidase","DD","AT4G08770","AT4G08770","AT4G08770",NA,"pos",2,2,4,1,1,3,5,0,1,0,0,6,1,0,0,0,1,1,0,1,0,0,1
"1112","SSF56801","DD","AT1G65060","AT1G65060","AT1G65060",NA,"pos",3,1,5,1,1,3,3,1,0,0,0,5,1,0,3,1,2,1,0,1,1,1,0
"1113","Glycoside hydrolase, family 35","DD","AT5G01075","AT5G01075","AT5G01075",NA,"pos",1,1,5,1,1,2,2,0,2,0,0,4,1,1,4,2,2,1,1,1,0,0,0
"1114","Protein of unknown function DUF946","DD","AT2G44230","AT2G44230","AT2G44230",NA,"pos",1,0,2,0,0,0,4,0,3,1,1,5,0,1,4,2,3,0,0,0,1,1,0
"1115","SSF54001","UU","AT3G57810","AT3G57810","AT3G57810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1116","Glutathione S-transferase, C-terminal-like;Translation elongation  factor EF1B/ribosomal protein S6","UU","AT5G12110","AT5G12110","AT5G12110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117","GH3 auxin-responsive promoter","DD","AT5G51470","AT5G51470","AT5G51470",NA,"pos",1,2,4,2,1,2,3,0,2,1,0,4,1,0,3,2,2,1,1,0,1,0,1
"1118","Zinc finger, C2H2-like;Zinc finger, C2H2-like","DD","AT3G10470","AT3G10470","AT3G10470","C2H2","pos",3,0,4,1,1,1,5,0,4,1,1,4,1,0,1,1,2,1,1,1,1,0,1
"1119","Multi antimicrobial extrusion protein MatE","DD","AT4G29140","AT4G29140","AT4G29140",NA,"pos",1,1,5,1,1,1,5,1,2,1,0,2,1,0,2,1,2,1,0,0,0,0,0
"1120","Galactose oxidase/kelch, beta-propeller","DD","AT1G31350","AT1G31350","AT1G31350",NA,"pos",1,1,4,2,1,1,5,0,2,1,0,6,2,0,2,2,2,1,1,1,1,0,1
"1121","SSF53474","UU","AT5G20060","AT5G20060","AT5G20060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1122","SSF53448","UU","AT1G56600","AT1G56600","AT1G56600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1123","NO_DESCRIPTION","DD","AT5G24570","AT5G24570","AT5G24570",NA,"pos",1,1,6,1,0,2,5,0,0,1,1,6,1,0,3,2,1,2,1,1,1,0,0
"1124","Nucleotide-diphospho-sugar transferase, predicted","DD","AT1G70630","AT1G70630","AT1G70630",NA,"pos",0,1,2,2,1,0,2,0,0,1,1,0,0,0,5,1,2,1,0,0,1,1,1
"1125","Octicosapeptide/Phox/Bem1p","UU","AT3G48240","AT3G48240","AT3G48240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1126","Helix-loop-helix DNA-binding domain","UU","AT5G56960","AT5G56960","AT5G56960","bHLH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1127","Tubby, C-terminal","UU","AT1G16070","AT1G16070","AT1G16070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1128","NO_DESCRIPTION","DD","AT4G25845","AT4G25845","AT4G25845",NA,"pos",3,1,1,1,1,3,5,0,0,1,2,5,1,1,1,2,1,2,1,1,0,1,0
"1129","Mitochodrial transcription termination factor-related;Mitochodrial transcription termination factor-related","UU","AT5G64950","AT5G64950","AT5G64950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130","Armadillo-type fold","UU","AT1G66160","AT1G66160","AT1G66160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1131","Erythronate-4-phosphate dehydrogenase","UU","AT1G19400","AT1G19400","AT1G19400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1132","Protein of unknown function DUF572","UU","AT3G43250","AT3G43250","AT3G43250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1133","C4-dicarboxylate transporter/malic acid transport protein","UU","AT4G27970","AT4G27970","AT4G27970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134","Late embryogenesis abundant protein, group 2","UU","AT2G27080","AT2G27080","AT2G27080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135","Dehydrin;Dehydrin","UU","AT1G20440","AT1G20440","AT1G20440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1136","SSF51905","UU","AT1G55980","AT1G55980","AT1G55980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1137","Malectin/receptor-like protein kinase;Protein kinase-like domain","DD","AT5G39020","AT5G39020","AT5G39020",NA,"pos",2,0,6,2,0,1,3,1,3,1,1,2,1,0,2,2,1,1,1,0,1,1,1
"1138","Carotenoid oxygenase","DD","AT4G19170","AT4G19170","AT4G19170",NA,"pos",1,1,3,1,1,0,3,1,0,1,0,6,0,0,2,2,1,0,0,0,1,0,1
"1139","Protein of unknown function DUF640","DD","AT1G07090","AT1G07090","AT1G07090",NA,"pos",3,0,5,2,1,2,5,0,0,0,0,7,1,1,3,1,1,2,0,1,1,0,0
"1140","HSP20-like chaperone","UU","AT5G12020","AT5G12020","AT5G12020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141","PTHR14237","DD","AT4G22980","AT4G22980","AT4G22980",NA,"pos",0,0,3,0,1,2,4,0,1,1,0,6,1,1,3,1,1,2,1,1,0,1,1
"1142","Auxin-binding protein","UU","AT4G02980","AT4G02980","AT4G02980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143","NO_DESCRIPTION","UU","AT1G17870","AT1G17870","AT1G17870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144","Pyridoxal phosphate-dependent transferase, major domain","DD","AT2G22810","AT2G22810","AT2G22810",NA,"pos",4,1,3,1,1,3,3,0,1,0,0,7,1,0,1,1,2,1,0,1,0,0,1
"1145","NO_DESCRIPTION","UU","AT5G07330","AT5G07330","AT5G07330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146","Poly(ADP-ribose) glycohydrolase","UU","AT2G31865","AT2G31865","AT2G31865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147","Toll-Interleukin receptor;NB-ARC","UU","AT1G72900","AT1G72900","AT1G72900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148","SSF57850","DD","AT2G35910","AT2G35910","AT2G35910",NA,"pos",3,1,5,2,1,3,3,0,2,1,0,4,1,1,0,1,1,1,1,1,1,0,0
"1149","NADPH oxidase Respiratory burst;NOVEL00034;Ferric reductase-like transmembrane component, N-terminal;Riboflavin synthase-like beta-barrel;Ferric reductase, NAD binding","DD","AT5G07390","AT5G07390","AT5G07390",NA,"pos",1,1,6,0,1,3,5,0,2,1,1,6,1,1,3,2,1,2,1,0,0,0,0
"1150","SSF55961","UU","AT3G26450","AT3G26450","AT3G26450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","DNA-binding, integrase-type","UU","AT4G17500","AT4G17500","AT4G17500","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","NOVEL00014","UU","AT2G32190","AT2G32190","AT2G32190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153","Thioredoxin-like fold;Thioredoxin-like fold","UU","AT1G76080","AT1G76080","AT1G76080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154","Leucine-rich repeat-containing N-terminal domain, type 2;SSF52047;Protein kinase-like domain","UU","AT2G02220","AT2G02220","AT2G02220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155","Concanavalin A-like lectin/glucanase;Protein kinase-like domain","DD","AT2G43700","AT2G43700","AT2G43700",NA,"pos",1,0,2,0,1,0,0,0,0,1,1,3,0,0,2,1,1,2,0,0,0,0,1
"1156","NO_DESCRIPTION","UU","AT3G04640","AT3G04640","AT3G04640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157","Long-chain fatty alcohol dehydrogenase","DD","AT4G19380","AT4G19380","AT4G19380",NA,"pos",3,2,3,1,1,0,3,1,1,1,1,4,0,1,1,1,3,1,0,1,0,0,0
"1158","Auxin efflux carrier","UU","AT5G01990","AT5G01990","AT5G01990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159","Dynein light chain, type 1/2;Rop nucleotide exchanger, PRONE","DD","AT1G52240","AT1G52240","AT1G52240",NA,"pos",1,2,5,1,1,1,2,1,1,1,1,7,0,1,2,1,2,1,0,1,1,0,0
"1160","SSF47473","UU","AT5G42380","AT5G42380","AT5G42380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161","NO_DESCRIPTION","UU","AT5G12900","AT5G12900","AT5G12900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162","NO_DESCRIPTION","UU","AT1G75730","AT1G75730","AT1G75730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163","Homeodomain-like;Leucine zipper, homeobox-associated","DD","AT1G27045","AT1G27045","AT1G27045","HD-ZIP","pos",3,1,6,1,1,1,3,0,0,0,1,3,1,1,1,1,1,2,0,1,0,1,1
"1164","SSF53756","DD","AT2G11810","AT2G11810","AT2G11810",NA,"pos",1,1,4,2,1,2,6,1,3,1,0,4,1,1,4,0,1,0,0,1,1,0,1
"1165","Small GTP-binding protein","DD","AT1G01200","AT1G01200","AT1G01200",NA,"pos",1,1,4,0,1,0,4,0,2,0,0,3,1,2,4,1,1,1,1,0,1,0,1
"1166","NO_DESCRIPTION","UU","AT5G17350","AT5G17350","AT5G17350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167","NOVEL00045;Protein of unknown function DUF221","UU","AT1G32090","AT1G32090","AT1G32090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1168","Calycin-like","UU","AT3G47860","AT3G47860","AT3G47860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169","Xyloglucan endotransglucosylase/hydrolase","DD","AT5G65730","AT5G65730","AT5G65730",NA,"pos",3,1,4,1,1,3,3,1,2,0,0,3,1,1,2,2,1,0,0,1,0,0,1
"1170","Tyrosine transaminase","DD","AT2G20610","AT2G20610","AT2G20610",NA,"pos",2,1,7,1,1,3,2,1,0,0,0,2,1,1,3,1,1,0,1,0,0,1,1
"1171","Peptidase M48","UU","AT5G51740","AT5G51740","AT5G51740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1172","ATPase, AFG1-like","UU","AT4G30490","AT4G30490","AT4G30490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173","SSF51197","UU","AT1G55290","AT1G55290","AT1G55290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174","Aminotransferase-like, plant mobile domain;NOVEL00119","UU","AT1G50750","AT1G50750","AT1G50750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1175","PS51257;SSF53335","DD","AT3G05390","AT3G05390","AT3G05390",NA,"pos",3,1,4,1,1,0,4,0,1,1,1,4,0,1,4,1,1,1,0,0,0,1,0
"1176","Fatty acid desaturase, type 1","DD","AT1G06090","AT1G06090","AT1G06090",NA,"pos",2,2,5,1,1,2,4,1,2,1,0,7,2,0,3,0,1,2,1,0,1,0,0
"1177","Phosphate-induced protein 1","UU","AT1G35140","AT1G35140","AT1G35140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178","NO_DESCRIPTION","DD","AT4G37450","AT4G37450","AT4G37450",NA,"pos",1,2,4,1,1,2,4,0,1,1,1,5,2,1,1,1,2,0,0,1,1,1,0
"1179","Pre-mRNA-splicing factor 3","UU","AT3G56790","AT3G56790","AT3G56790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1180","Major facilitator superfamily, general substrate transporter","DD","AT4G36670","AT4G36670","AT4G36670",NA,"pos",0,2,2,2,0,2,3,0,1,1,0,3,1,1,3,0,2,1,1,0,1,0,0
"1181","Cytochrome P450","DD","AT1G17060","AT1G17060","AT1G17060",NA,"pos",4,0,7,1,1,3,5,0,3,0,0,4,1,0,2,2,2,0,0,1,1,0,1
"1182","SSF52058;Protein kinase-like domain","UU","AT5G06820","AT5G06820","AT5G06820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183","Glycosyl transferase, family 10","UU","AT1G49710","AT1G49710","AT1G49710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184","TRAM/LAG1/CLN8 homology domain","UU","AT4G19645","AT4G19645","AT4G19645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1185","Cupredoxin","DD","AT1G64640","AT1G64640","AT1G64640",NA,"pos",0,0,2,1,1,0,0,1,0,1,0,2,1,2,4,2,2,1,1,1,1,0,1
"1186","Major facilitator superfamily, general substrate transporter","UU","AT5G62730","AT5G62730","AT5G62730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187","Transferase","DD","AT4G31910","AT4G31910","AT4G31910",NA,"pos",1,1,2,0,0,3,3,0,2,1,1,3,1,2,4,3,2,2,0,1,1,1,1
"1188","Cytochrome P450","UU","AT5G67310","AT5G67310","AT5G67310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1189","PTHR11132","DD","AT1G07290","AT1G07290","AT1G07290",NA,"pos",3,1,3,1,0,2,2,0,1,1,0,4,0,0,2,3,1,2,0,1,0,1,0
"1190","DNA-binding, integrase-type","UU","AT5G51190","AT5G51190","AT5G51190","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1191","NO_DESCRIPTION","UU","AT4G12735","AT4G12735","AT4G12735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1192","SSF54236","UU","AT5G42220","AT5G42220","AT5G42220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1193","NO_DESCRIPTION","DD","AT5G03670","AT5G03670","AT5G03670",NA,"pos",1,0,3,2,1,3,4,1,1,1,0,5,1,0,1,1,0,1,1,0,1,0,1
"1194","NO_DESCRIPTION","DD","AT1G61255","AT1G61255","AT1G61255",NA,"pos",1,1,4,1,1,0,2,1,0,1,1,5,0,0,3,1,2,0,0,1,1,0,1
"1195","Aldolase-type TIM barrel","DD","AT2G38210","AT2G38210","AT2G38210",NA,"pos",3,1,1,0,1,3,4,0,4,0,0,6,1,0,4,2,1,1,1,1,1,0,0
"1196","SSF53756","DD","AT4G19460","AT4G19460","AT4G19460",NA,"pos",1,2,3,1,1,2,1,1,0,1,0,4,1,0,3,2,0,1,1,1,0,1,1
"1197","Predicted AT-hook DNA-binding","DD","AT3G04570","AT3G04570","AT3G04570",NA,"pos",1,1,2,2,1,3,3,1,4,1,0,7,2,0,3,0,1,0,1,1,0,0,1
"1198","DNA-binding WRKY","DD","AT4G23550","AT4G23550","AT4G23550","WRKY","pos",3,2,6,2,0,2,5,0,2,1,2,6,2,0,4,2,2,1,0,1,0,0,0
"1199","SSF52047;SSF52047;Protein kinase-like domain","UU","AT5G25930","AT5G25930","AT5G25930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1200","SSF57889;SSF57889;SSF57889;SSF57889","DD","AT5G45730","AT5G45730","AT5G45730",NA,"pos",1,1,5,1,1,0,3,1,0,0,0,4,1,0,3,1,1,1,1,1,1,1,1
"1201","Casein kinase II, regulatory subunit","UU","AT3G60250","AT3G60250","AT3G60250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1202","SSF52058;Protein kinase-like domain","UU","AT2G27060","AT2G27060","AT2G27060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203","Transcription factor GRAS","UU","AT3G13840","AT3G13840","AT3G13840","GRAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1204","Protein of unknown function DUF248, methyltransferase putative","DD","AT4G19120","AT4G19120","AT4G19120",NA,"pos",0,1,3,2,1,2,4,0,0,1,0,5,2,0,1,3,0,2,1,1,1,0,1
"1205","Predicted AT-hook DNA-binding","DD","AT4G12050","AT4G12050","AT4G12050",NA,"pos",1,1,3,1,0,2,5,0,2,0,0,7,1,2,4,2,1,0,0,1,0,0,1
"1206","Homeodomain-like;Homeodomain-like","DD","AT1G66390","AT1G66390","AT1G66390","MYB","pos",3,0,5,0,0,3,2,0,1,0,0,3,1,1,2,1,1,2,1,1,0,1,0
"1207","Haem peroxidase","DD","AT2G18150","AT2G18150","AT2G18150",NA,"pos",0,1,4,2,0,1,3,0,1,1,1,2,1,0,1,0,2,1,0,0,0,1,1
"1208","Galactose oxidase/kelch, beta-propeller","UU","AT2G44130","AT2G44130","AT2G44130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1209","NO_DESCRIPTION","UU","AT4G38060","AT4G38060","AT4G38060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210","NO_DESCRIPTION","DD","AT5G46440","AT5G46440","AT5G46440",NA,"pos",0,0,3,1,1,1,1,0,0,0,1,0,0,0,3,1,1,0,0,1,1,1,1
"1211","NO_DESCRIPTION","UU","AT1G10220","AT1G10220","AT1G10220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1212","PS51257;Esterase, SGNH hydrolase-type","DD","AT3G14225","AT3G14225","AT3G14225",NA,"pos",1,1,3,1,0,2,1,0,0,1,0,2,2,0,1,1,0,1,1,0,0,0,0
"1213","NO_DESCRIPTION","UU","AT5G56050","AT5G56050","AT5G56050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1214","Thioredoxin-like fold","UU","AT1G08570","AT1G08570","AT1G08570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1215","NO_DESCRIPTION","DD","AT3G16070","AT3G16070","AT3G16070",NA,"pos",1,1,5,2,1,0,3,0,0,0,0,5,0,0,0,1,2,2,0,1,0,1,0
"1216","DNA-binding, integrase-type","UU","AT3G50260","AT3G50260","AT3G50260","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1217","Glucosamine-fructose-6-phosphate aminotransferase, isomerising","UU","AT3G24090","AT3G24090","AT3G24090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
